dataset_idx,dataset_name,traj_idx,traj_name,frame_idx,clean_mean_partial_rms,adv_mean_partial_rms,adv_delta_mean_partial_rms,adv_ratio_mean_partial_rms,adv_delta_ratio_mean_partial_rms
1,1,15,00015_seed_00001,1,1.0636844635009766,1.0636844635009766,0.0,1.0,1.0636844635009766
1,1,15,00015_seed_00001,2,2.1243903636932373,2.1243903636932373,0.0,1.0,2.1243903636932373
1,1,15,00015_seed_00001,3,3.1821370124816895,3.1821370124816895,0.0,1.0,3.1821370124816895
1,1,15,00015_seed_00001,4,4.236952304840088,4.236952781677246,4.76837158203125e-07,1.000000112542489,4.236952781677246
1,1,15,00015_seed_00001,5,5.28885555267334,5.28885555267334,0.0,1.0,5.28885555267334
1,1,15,00015_seed_00001,6,6.337879657745361,6.337879657745361,0.0,1.0,6.337879657745361
1,1,15,00015_seed_00001,7,7.384036064147949,7.384035587310791,-4.76837158203125e-07,0.9999999354232355,7.384035587310791
1,1,16,00016_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,16,00016_seed_00001,1,1.1577099561691284,1.1577099561691284,0.0,1.0,1.1577099561691284
1,1,16,00016_seed_00001,2,2.3117456436157227,2.3117456436157227,0.0,1.0,2.3117456436157227
1,1,16,00016_seed_00001,3,3.462066650390625,3.462066650390625,0.0,1.0,3.462066650390625
1,1,16,00016_seed_00001,4,4.608624458312988,4.608624458312988,0.0,1.0,4.608624458312988
1,1,16,00016_seed_00001,5,5.751380920410156,5.751380920410156,0.0,1.0,5.751380920410156
1,1,16,00016_seed_00001,6,6.890281677246094,6.890281677246094,0.0,1.0,6.890281677246094
1,1,16,00016_seed_00001,7,8.025287628173828,8.025287628173828,0.0,1.0,8.025287628173828
1,1,17,00017_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,17,00017_seed_00001,1,1.0032497644424438,1.0032497644424438,0.0,1.0,1.0032497644424438
1,1,17,00017_seed_00001,2,2.005715847015381,2.005715847015381,0.0,1.0,2.005715847015381
1,1,17,00017_seed_00001,3,3.0073957443237305,3.0073957443237305,0.0,1.0,3.0073957443237305
1,1,17,00017_seed_00001,4,4.008280277252197,4.008280277252197,0.0,1.0,4.008280277252197
1,1,17,00017_seed_00001,5,5.008363723754883,5.008363723754883,0.0,1.0,5.008363723754883
1,1,17,00017_seed_00001,6,6.007636070251465,6.007636070251465,0.0,1.0,6.007636070251465
1,1,17,00017_seed_00001,7,7.006101608276367,7.006101608276367,0.0,1.0,7.006101608276367
1,1,18,00018_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,18,00018_seed_00001,1,1.1711084842681885,1.171108603477478,1.1920928955078125e-07,1.0000001017918418,1.171108603477478
1,1,18,00018_seed_00001,2,2.337986469268799,2.337986469268799,0.0,1.0,2.337986469268799
1,1,18,00018_seed_00001,3,3.5005922317504883,3.5005922317504883,0.0,1.0,3.5005922317504883
1,1,18,00018_seed_00001,4,4.658883094787598,4.658883094787598,0.0,1.0,4.658883094787598
1,1,18,00018_seed_00001,5,5.812807559967041,5.812807559967041,0.0,1.0,5.812807559967041
1,1,18,00018_seed_00001,6,6.9623260498046875,6.962325572967529,-4.76837158203125e-07,0.999999931511803,6.962325572967529
1,1,18,00018_seed_00001,7,8.107392311096191,8.107392311096191,0.0,1.0,8.107392311096191
1,1,19,00019_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,19,00019_seed_00001,1,1.0637658834457397,1.0637658834457397,0.0,1.0,1.0637658834457397
1,1,19,00019_seed_00001,2,2.125587224960327,2.125587224960327,0.0,1.0,2.125587224960327
1,1,19,00019_seed_00001,3,3.185478925704956,3.185478925704956,0.0,1.0,3.185478925704956
1,1,19,00019_seed_00001,4,4.243452072143555,4.243452072143555,0.0,1.0,4.243452072143555
1,1,19,00019_seed_00001,5,5.29951810836792,5.29951810836792,0.0,1.0,5.29951810836792
1,1,19,00019_seed_00001,6,6.3536906242370605,6.3536906242370605,0.0,1.0,6.3536906242370605
1,1,19,00019_seed_00001,7,7.4059906005859375,7.4059906005859375,0.0,1.0,7.4059906005859375
2,2,20,00020_seed_00001,0,0.0,0.0,0.0,0,0.0
