dataset_idx,dataset_name,traj_idx,traj_name,frame_idx,clean_target_rms,adv_target_rms,adv_delta_target_rms,adv_ratio_target_rms,adv_delta_ratio_target_rms
0,0,2,00002_seed_00001,3,1.2389788627624512,1.2389788627624512,0.0,1.0,1.2389788627624512
0,0,2,00002_seed_00001,4,1.6516207456588745,1.651620864868164,1.1920928955078125e-07,1.000000072177157,1.651620864868164
0,0,2,00002_seed_00001,5,2.0641167163848877,2.0641167163848877,0.0,1.0,2.0641167163848877
0,0,2,00002_seed_00001,6,2.476484775543213,2.476484775543213,0.0,1.0,2.476484775543213
0,0,2,00002_seed_00001,7,2.888744592666626,2.888744592666626,0.0,1.0,2.888744592666626
0,0,3,00003_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,3,00003_seed_00001,1,0.39275383949279785,0.39275386929512024,2.9802322387695312e-08,1.00000007588041,0.39275386929512024
0,0,3,00003_seed_00001,2,0.7849845886230469,0.7849846482276917,5.960464477539063e-08,1.0000000759309744,0.7849846482276917
0,0,3,00003_seed_00001,3,1.1766992807388306,1.1766992807388306,0.0,1.0,1.1766992807388306
0,0,3,00003_seed_00001,4,1.5679301023483276,1.5679301023483276,0.0,1.0,1.5679301023483276
0,0,3,00003_seed_00001,5,1.9586834907531738,1.9586834907531738,0.0,1.0,1.9586834907531738
0,0,3,00003_seed_00001,6,2.3489644527435303,2.3489646911621094,2.384185791015625e-07,1.000000101499441,2.3489646911621094
0,0,3,00003_seed_00001,7,2.7387912273406982,2.7387912273406982,0.0,1.0,2.7387912273406982
0,0,4,00004_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,4,00004_seed_00001,1,0.43690258264541626,0.43690258264541626,0.0,1.0,0.43690258264541626
0,0,4,00004_seed_00001,2,0.8726338744163513,0.8726338744163513,0.0,1.0,0.8726338744163513
0,0,4,00004_seed_00001,3,1.307193636894226,1.307193636894226,0.0,1.0,1.307193636894226
0,0,4,00004_seed_00001,4,1.7406083345413208,1.7406084537506104,1.1920928955078125e-07,1.0000000684871417,1.7406084537506104
0,0,4,00004_seed_00001,5,2.1728782653808594,2.1728785037994385,2.384185791015625e-07,1.000000109724775,2.1728785037994385
0,0,4,00004_seed_00001,6,2.604030132293701,2.6040303707122803,2.384185791015625e-07,1.0000000915575347,2.6040303707122803
0,0,4,00004_seed_00001,7,3.034064531326294,3.034064769744873,2.384185791015625e-07,1.0000000785805894,3.034064769744873
0,0,5,00005_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,5,00005_seed_00001,1,0.4140814244747162,0.4140814244747162,0.0,1.0,0.4140814244747162
0,0,5,00005_seed_00001,2,0.8248468637466431,0.8248469233512878,5.960464477539063e-08,1.0000000722614675,0.8248469233512878
0,0,5,00005_seed_00001,3,1.2322731018066406,1.2322731018066406,0.0,1.0,1.2322731018066406
0,0,5,00005_seed_00001,4,1.636336088180542,1.6363362073898315,1.1920928955078125e-07,1.0000000728513478,1.6363362073898315
0,0,5,00005_seed_00001,5,2.0370242595672607,2.03702449798584,2.384185791015625e-07,1.000000117042582,2.03702449798584
0,0,5,00005_seed_00001,6,2.434299945831299,2.434300184249878,2.384185791015625e-07,1.000000097941332,2.434300184249878
0,0,5,00005_seed_00001,7,2.828136682510376,2.828136682510376,0.0,1.0,2.828136682510376
0,0,6,00006_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,6,00006_seed_00001,1,0.4151431620121002,0.4151431620121002,0.0,1.0,0.4151431620121002
0,0,6,00006_seed_00001,2,0.8275660872459412,0.8275660872459412,0.0,1.0,0.8275660872459412
0,0,6,00006_seed_00001,3,1.2371946573257446,1.2371946573257446,0.0,1.0,1.2371946573257446
0,0,6,00006_seed_00001,4,1.6439383029937744,1.6439383029937744,0.0,1.0,1.6439383029937744
