dataset_idx,dataset_name,traj_idx,traj_name,frame_idx,clean_target_mean_partial_rms,adv_target_mean_partial_rms,adv_delta_target_mean_partial_rms,adv_ratio_target_mean_partial_rms,adv_delta_ratio_target_mean_partial_rms
0,0,7,00007_seed_00001,1,0.3884584307670593,0.3884584307670593,0.0,1.0,0.3884584307670593
0,0,7,00007_seed_00001,2,0.7719051837921143,0.7719051837921143,0.0,1.0,0.7719051837921143
0,0,7,00007_seed_00001,3,1.1502643823623657,1.1502643823623657,0.0,1.0,1.1502643823623657
0,0,7,00007_seed_00001,4,1.5234557390213013,1.5234558582305908,1.1920928955078125e-07,1.0000000782492635,1.5234558582305908
0,0,7,00007_seed_00001,5,1.8913984298706055,1.891398549079895,1.1920928955078125e-07,1.0000000630270638,1.891398549079895
0,0,7,00007_seed_00001,6,2.254009246826172,2.254009246826172,0.0,1.0,2.254009246826172
0,0,7,00007_seed_00001,7,2.611206531524658,2.611206531524658,0.0,1.0,2.611206531524658
0,0,8,00008_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,8,00008_seed_00001,1,0.41953563690185547,0.41953563690185547,0.0,1.0,0.41953563690185547
0,0,8,00008_seed_00001,2,0.8385605812072754,0.8385605812072754,0.0,1.0,0.8385605812072754
0,0,8,00008_seed_00001,3,1.2570831775665283,1.2570831775665283,0.0,1.0,1.2570831775665283
0,0,8,00008_seed_00001,4,1.675112009048462,1.675112009048462,0.0,1.0,1.675112009048462
0,0,8,00008_seed_00001,5,2.0926554203033447,2.0926554203033447,0.0,1.0,2.0926554203033447
0,0,8,00008_seed_00001,6,2.5097222328186035,2.5097224712371826,2.384185791015625e-07,1.0000000949979946,2.5097224712371826
0,0,8,00008_seed_00001,7,2.9263219833374023,2.9263219833374023,0.0,1.0,2.9263219833374023
0,0,9,00009_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,9,00009_seed_00001,1,0.41685715317726135,0.41685718297958374,2.9802322387695312e-08,1.0000000714928894,0.41685718297958374
0,0,9,00009_seed_00001,2,0.8336257934570312,0.8336257934570312,0.0,1.0,0.8336257934570312
0,0,9,00009_seed_00001,3,1.250295639038086,1.250295639038086,0.0,1.0,1.250295639038086
0,0,9,00009_seed_00001,4,1.666852355003357,1.666852355003357,0.0,1.0,1.666852355003357
0,0,9,00009_seed_00001,5,2.0832793712615967,2.0832793712615967,0.0,1.0,2.0832793712615967
0,0,9,00009_seed_00001,6,2.4995644092559814,2.4995644092559814,0.0,1.0,2.4995644092559814
0,0,9,00009_seed_00001,7,2.915698289871216,2.915698289871216,0.0,1.0,2.915698289871216
1,1,10,00010_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,10,00010_seed_00001,1,0.4178716242313385,0.4178716242313385,0.0,1.0,0.4178716242313385
1,1,10,00010_seed_00001,2,0.835092306137085,0.835092306137085,0.0,1.0,0.835092306137085
1,1,10,00010_seed_00001,3,1.2516722679138184,1.2516722679138184,0.0,1.0,1.2516722679138184
1,1,10,00010_seed_00001,4,1.6676216125488281,1.6676217317581177,1.1920928955078125e-07,1.0000000714846153,1.6676217317581177
1,1,10,00010_seed_00001,5,2.0829505920410156,2.0829508304595947,2.384185791015625e-07,1.0000001144619464,2.0829508304595947
1,1,10,00010_seed_00001,6,2.4976699352264404,2.4976701736450195,2.384185791015625e-07,1.0000000954563995,2.4976701736450195
1,1,10,00010_seed_00001,7,2.911789894104004,2.911789894104004,0.0,1.0,2.911789894104004
1,1,11,00011_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,11,00011_seed_00001,1,0.4199414551258087,0.4199414551258087,0.0,1.0,0.4199414551258087
1,1,11,00011_seed_00001,2,0.8370162844657898,0.8370162844657898,0.0,1.0,0.8370162844657898
1,1,11,00011_seed_00001,3,1.2512282133102417,1.2512282133102417,0.0,1.0,1.2512282133102417
1,1,11,00011_seed_00001,4,1.6625779867172241,1.6625781059265137,1.1920928955078125e-07,1.0000000717014723,1.6625781059265137
1,1,11,00011_seed_00001,5,2.0710690021514893,2.0710690021514893,0.0,1.0,2.0710690021514893
1,1,11,00011_seed_00001,6,2.4767017364501953,2.4767017364501953,0.0,1.0,2.4767017364501953
1,1,11,00011_seed_00001,7,2.879483699798584,2.879483699798584,0.0,1.0,2.879483699798584
1,1,12,00012_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,12,00012_seed_00001,1,0.4301902651786804,0.43019023537635803,-2.9802322387695312e-08,0.999999930722927,0.43019023537635803
1,1,12,00012_seed_00001,2,0.8598963618278503,0.8598963618278503,0.0,1.0,0.8598963618278503
